,Unnamed: 0,time,accX,accY,accZ,gyrX,gyrY,gyrZ,y,x
96,96,1.9061589241027832,-0.05,-0.28,9.16,0.0021816615649929,0.0163624617374468,0.0349065850398865,-0.3976000923702299,0.04043097220865746
97,97,1.924851417541504,-0.12,-0.22,9.12,-0.0676315085147802,-0.0610865238198015,0.0425424005173617,-0.40232300589104925,0.04069358828134578
98,98,1.9447462558746338,-0.05,0.31,10.3,-0.0250891079974184,-0.0163624617374468,0.0207257848674326,-0.40735106222135564,0.040969662132717896
99,99,1.9625325202941895,0.51,0.03,10.16,-0.0305432619099007,0.0185441233024397,0.0392699081698724,-0.4118471812527396,0.041213648631872296
100,100,1.982813835144043,-0.5700000000000001,-0.29,9.86,-0.0610865238198015,-0.0207257848674326,-0.0032724923474893,-0.41697491068762627,0.0414888066934731
101,101,2.0016627311706543,0.15,0.39,9.4,-0.0709040008622696,0.0381790773873759,0.0098174770424681,-0.42174117229391633,0.04174180254450126
102,102,2.0203373432159424,-0.11,-0.68,9.69,-0.0207257848674326,-0.0032724923474893,0.0501782159948369,-0.42646389614672164,0.041990049972229354
103,103,2.0412333011627197,0.18,0.32,10.32,-0.0087266462599716,0.0338157542573901,0.0403607389523688,-0.43174891497051604,0.0422652020731194
104,104,2.0580296516418457,-0.54,0.11,9.95,0.0174532925199432,-0.0839939702522271,0.0272707695624114,-0.4359974185564648,0.042484523668211024
105,105,2.0797510147094727,-0.13,-0.39,9.16,-0.0032724923474893,-0.0501782159948369,0.023998277214922,-0.44149212701215224,0.04276593706206337
106,106,2.099529981613159,-0.12,-0.04,9.18,-0.0425424005173617,-0.0414515697348653,0.0207257848674326,-0.44649596551877296,0.04302022631079912
107,107,2.1188955307006836,-0.03,0.09,9.54,-0.0283616003449078,-0.0349065850398865,0.0109083078249645,-0.45139573515427095,0.04326759964713826
